user,Review,SENTIMEN
Zulfiaarifah,makasih shopee belanja jadi lebih mudah. Tinggal nunggu di rumah pesanan sampai deh,positif
odreyisheree,"Bagus, cuma ada beberapa yang perlu ditambah :)",positif
dianekaaaaaa,"Selalu ada free ongkir, dan banyak disc, cuma 1 yang kurang sering belanja ratusan ribu tapi gak ada shopee paylater, sementara tmn gw yang jarang beli ada shopee paylater",positif
muliana123,puas belanja di shopee banyak diskon dan gratis ongkir. penjualnya baik dan kurir sopan.,positif
Citramsfrh,"Masih jadi yang terbaik, dengan keamanan dan kenyamanan yang luar biasa",positif
awansurya,Apakah kalau beli barang di sini harus share lokasi??? Soal nya gak pernah beli online,positif
lalalita20,Lebih ditingkatkan lagi untuk keaman shopeepay nya,positif
dinda13,Shopee makin keren,positif
Fazashafa4,"Harus pinter2 milih toko untuk dapat barang murah tapi bagus, suka dengan free ongkir untuk semua toko nya, shopee sering2 ya bikin promo free ongkir nya karenaa kirim ke lokasi aku mahal banget kalo ongkirnya.",positif
nramadhanis16,"lumayan membantu, cuma sayang, produk &gambar nya terkadang berbeda jauh,,,, ekspektasi nya tidak seindah kenyataan....",positif
Anisafadhilah85,"Ya karena tidak ad yang sempurna aja di dunia, tapi senang shopee selalu meningkatkan keamanan dan kenyamanan pembeli. Terimakasi shopee",positif
sarahdf,Asalamualikum saya mau nanya kalo buka shopee pakai email atau pasword g yang sudah pernah downlod dijawa y soalny aku baru downlod.??makasih,positif
rinas_yahzunka,Harga murah . cepat sampai.banyakin gratis ongkir jangan mahal2 ongkirnya biar yang belanja lebih bnyak,positif
dinaramdhanii,"Maaf kak ini aplikasi shopee memang bagus banget. Tapi untuk jasa kirim pakait nya mahal banget harganya jadi sampe 17.000 gitu. Tolong dong diperbaiki lagi, biar makin langganan. Maaf ya kalau ucapanku mengganggu. Tapi aplikasi nya bagus bangett kok??",positif
amarangganaratih,Bagus hanya saja kadang suka loading lama,positif
Fitridestiana_0705,saya kasih bintang 4 soalnya lama langganan di sini... Cuma saran sdikit d perbaiki : 1.Agak lemot klau louding 2.shopee laterku tiba2 jadi nol... padahal tgihan selalu ku bayar jauh sblm jtuh temponya 3.koin d permainan tanam ama harian smkin sdkit 4.ongkir untuk lokalan kok gk prnah 0 rp 5.dll,positif
Nasrilia12,"Kasi bintang 4 aja,soalnya saat masuk cari produk gd mau muncul.tolong diperbaiki donk.",positif
ratnamont,"Shopee sangat membantu, apa lagi shopee paylater, sayang y ongkir geratis y jarang""????",positif
riann_nc,"Shopee aplikasi ok sih, tapi saya mau belanja di shopee pas saya mau chekout, kok tiba2"" ada masalah ya, kyak nggk ada rincian belanjaan gtu",positif
taradwipaa_,sangat membantu buat kaum mager keluar wkwk,positif
Atimfm,"Sejauh ini semua pesanan bagus, mudah2n kedepan pelayanan lebih matang lagi, lebih mantap lagi, lebih melindungi konsumen",positif
aik_039,Senang sekali,positif
shopholicana,Iklan bagus barang nya sesuai pesanan,positif
lulunurmalitasari,alhamdulillah aplikasi yang amanah,positif
li_maulida,Pengalaman baru di era new normal.. Seru juga belanja di aplikasi ini,positif
WafaUlfa,Masih berjalan mulus...belum ada kerugian...semoga kedepannya aku bisa dapat undian dari shopee...??,positif
raaya,Aplikasi bagus.. Sangat membantu..,positif
Sasqiyaa,Oke punya  deh top,positif
aldonna,Keren abis nih,positif
tisaainiii,sudah langganan belanja disini,positif
desnikaputrii,Semoga kedepanya semakin ok.,positif
ginagaryn,Saya saranin bisa bayar di tempat :),positif
rizkykio,Aplikasi belanja yang sangat efektif dan bermanfaat.,positif
ginapembayun,Tambahin promo min,positif
dianekaaa,Bagus banget aplikasinya....tapi agak sedikit bermasalah saat memesan barang,positif
Shella18,Kadang lemot banget.. tapi overall sudah baik..,positif
Odenanda_ch,Semua orang sudah tau lah sophie mempermudah belanja dan aman...,positif
lira_00,sampai saat ini cukup bagus,positif
destiara_nrb,Terima kasih sudah membantu saya,positif
leoai68,"Aplikasinya si oke yah, pesenan juga lancar aja. Cuma sekarang ko koin hasil belanjanya malah ditarik karena spam. Padahal saya selalu kasih bintang 5 dan review jujur bagus bagus:)) ini kenapa ko bisa gini",positif
Yuliaasri,Aplikasi sangat bagus dan banyak bonus??,positif
Violetha,Aku suka sekali,positif
dewirahma,Asalamualaikum Ini aplikasi bagus banget tapi saya blom tau soalnya HP saya Kentang jadi kalo Login nya lama banget tapi aplikasi nya kaga salah kok yang salah cuma HP Gw doank Thank's you,positif
Sophia,SHOPEE menurut ak dh bagus tapi masih ad yang karena gtu masalah koneksi nya jadi untk skarang bntng 4 dlu yh min,positif
notyourgif_,pelayanan bagus,positif
tifabellatrix,Lumayan okelaa,positif
dinarudinar,"Suka pakai shoppepay tapi akun kok sekarang gak bisa dipakai punyaku ya,ada masalah apa ya..tolong jelaskan",positif
devitahaerany,"Suka banget belanja di shopee, sering2 dong keluarin voucher gratis ongkir",positif
firdaindahhh,Bagus aplikasi nya tapi kadang agak lelet aja,positif
sekarwandira,"Pokonya suka banget ,bikin mudah ,dan kalo masalah barang bagus atau zonk ya tergantung kita nya aja yang nentuin dan dari pihak tokonya juga yang ngirim ,ada harga ada kualitas sih intinya mah yaa??",positif
rilakumabear,"Shopee sangat lah membantu,terimaksih banyak shopee. semoga semakin maju",positif
Uhhoney,kok ga ada kode pos kota/kelurahan tertentu ya?,positif
Kayra,"sejauh ini, selalu puas sama aplikasinya",positif
Ekaputrinovi,Aplikasinya bagus pengirimanya juga cepat tepat dan akurat apalagi di tambahin cod untuk pembayaran di tempat makin tambah bagus lagi makasih shopee,positif
apriliaadym,"Kekurangan shopee, shopee harus di update terus",positif
ddianaml_,Sangat memuaskan,positif
akangskincare,Kalau bisa shope adakan tabung emas ataw tabung saldo ( khusu penjual ) Yang mana dana di potong untuk ditabung dalam bentuk emas ataw nominal dari setiap hasil penjualan yang sudah selesai. ..jadi kita para penjual bisa menabung...,positif
niaraa17,Memuaskan selama ini,positif
lalalalintang,"Kena rachun shopee sudah KERACUNAN SHOPEE N TIKTOK,awal ny iseng iseng aja belanja di shopee tapi stelah semakin hari semakin kena rachun, karena diskon ny itu lohk bikin aku sedih????,masa kaos tie dye harga nya 9.000 sm lengan panjang cuma 12 rbu, bahkan ada shopi mart jadi gk perlu ke alfa ato ke i...Ulasan Lengkap",positif
paofitria,Produk dan pengiriman nya sesuai????,positif
Rvtleonaa,Aku sukanya kalau ada cod...dan barangnya sesuai gambar setiap aku pesan...no tipu2.????????????????????????,positif
Eltiaa,"Mantap, banyak discount & free ongkir",positif
Regitaekaw24,"kalau ada belanja onlin lebih mudah,belanja tidak perlu keluar rumah tinggal menunggu saja di rumah meski beberapa hari,semoga di per kilat waktu pengiriman biar orang suka belanja onlin,sukses buat shopee",positif
Leoniwulandari,Bagus untuk semua orang ya...,positif
hai_ninie,"Selalu belanja di Shopee dan alhamdulillah belum pernah kecewa dengan aplikasinya,hanya saja ingin komplain soal ekspedisi J&T di Balikpapan, kenapa selalu memberitahukan barang sudah saya terima padahal sebenarnya barang blm ada dirumah saya, dan biasanya keesokan hari baru diantar,itu sering kali te...Ulasan Lengkap",positif
putry2_,Mantap..banyakin gratis ongkir,positif
aghindaau17,"Love shopee , mudah berbelanja di shopee, ayok kakak semuanya online ke shopee, banyak gratis ongkir, voucher, and casback ??????",positif
galuhayuning,"Barang selalu sesuai...tapi masalah ongkir masih terlalu mahal (kdangan sih)tapi aku puas.pengiriman jg cepat,,,????????",positif
sasanszz,"Keren dah, walupun terkadang shopee pay nya sering eror",positif
ratnakartika04,bagus..... banget nget nget tapi ongkir ny suka ada yang mahal²,positif
dewsimangunsong,"Tadi pagi dapat sms ktanya dapat hadiah uang dari shopee,, ini bneran dari shopee?? Atau cuma penipuan",positif
alfaniamaulidaa,lumayan lah belanja di shopee banyak kemudahan dan banyak voucher nya juga..,positif
indrianingor,Lumayan deh shopee sekarang sering2 bikin event ya,positif
dhanista,shopee memang oke Semua pesanan cepet datang,positif
amiiiamii,lumamayan membantu untuk beli barang gak usah pergi2 tingal pesan sajah pengiriman jga cepAtt...,positif
felisitasmp,sip pokoknya di shopee,positif
repaaa,Aplikasi terbaik tapi coba deh buat flash salenya dibanyakin stoknya suka ga dapat,positif
Nayla1,Banyak gratis ongkirnya,positif
irmanandaar,Shopee mantap kalau bisa harga di turunin ??,positif
jessicaivena,belanja ga usah ribet di shopee ja,positif
Ces_Sasa,"Bagus banget,tapi kadang kadang loading terus",positif
aeylinz,Kenapa di aplikasi saya tidak ada spay later?,positif
Dinyess,"Sejauh ini, puas dengan aplikasi shoppe. Aplikasi sejuta umat. Tapi kenapa yang cod hanya bisa untuk 1 hari saja ya?",positif
devmybaby,Bagaimana download shopee terbaru yang bisa upload video buat retur barang,positif
aryoff,Kualitas barang sangat baik,positif
uzdahraninditaaa,"Lebih mudah memilih smw kebutuhan, banyak gratis ongkirY...",positif
DextordAngel,"pakai shopee puas banget, tapi tolong dong shopeepaylaternya kapan bisa di gunakan lagi huhu.",positif
evatrimaria,"Voucher gratis ongkirnya sekarang sedikit banget,,dulu sebulan sekali dapat 2 voucher,, Sekarang enggak",positif
giselarose,Lebih banyak gratis ongkir nya..,positif
zurasaaq,bagus dan mantap,positif
alleviatte,Kadang suka ngelag. Tapi rata-rata oke. Sayang voucher gratis ongkir tidak sebanyak dulu,positif
nprills,seneng banget bisa belanja di shopee ga rugi deh,positif
rayyafai,"Apl ini cukup membantu banget bagi rakyat Indonesia, apa lagi seperti keadaan dan situasi sperti skg ini, meskipun covid-19 sedang mlanda, tapi kita tetep bisa belanja dari rumah, terimakasih shopee",positif
Zattaani,Respon cepat...ongkir harus lebih murah lagi,positif
anandaanay_,untuk sekarang puas banget..,positif
mutiazzahra,"Pelanggan setia .. Sampe dapat aplikasi shopee pinjam . tapi sayang.nya stelah pengajuan d setujui pd hari yang sma ketika pengajuan smpe sekarang dana ga cair"" .. Udh semingguan .. Complain chat . email ga ad hasil .. Judul.nya d php.in nihh sma shopee",positif
lyalexii,Shopee online shop terpercaya lh pokoknya,positif
andinabila,"Loadingnya biasa agak lama, meski pakai wifi ataupun pakait data",positif
riyananugraheni,"Mempermudah belanja,,,,sayakn orangnya jarang kemana""",positif
Haurahanin,"Sebenarnya lumayan bagus, cuma semakin lama dibuka semakin lambat",positif
divaam,"Sebenernya shopee ini bagus, cuman saran aja kembaliin fitur di wishlist yang ga sekaligus ketandain, biar kita ga susah ubah pesanan satu2 yang ada di wishlist pas mau cekout barang tertentu. Terus cek koinnya jangan pelit2lah kasih koinnya, dikurangin mulu sih jumlah koin per harinya ??",positif
Ayiputri_,"Belanja nyaman, belanja aman",positif
carecare,"Bagus dn mntapi cumann......ap gunanya perpanjang masa pembayaran,,tiba2"" di cancel sndari olh pihak sophee",positif
shintaalya,"Belanja mudah, harga bersaing, bnyak voucher terutama free ongkir. tapi hrus teliti beli barang murah, heheh, kualitas sesuai harga",positif
mfh19,Suka banget deh,positif
dnshkylaa,"Bagus,untuk saat ini pelayanannya cukup puas,barang yang di pesan sesuai,cuma sampainya estimasi pengiriman agak lama,1 minggu??",positif
Astriash,Puas belanja d shopee,positif
Ayunindya9,"saya suka belanja di shopee sih, sayangnya voucher free ongkirnya terlalu minimalis, apalagi untuk barang yang ada diluar jawa otomatis ongkirnya lebih mahal:') lebih dibanyakin lagi dong vouchernya",positif
fhiaaa,Simple dan kompetitif,positif
puspaningtyas,Barang nya baguss,positif
icha51,Saya sebagai pelanggan sangat puas dengan shopee tetapi tolong ditambahkan fitur saat checkout kita masih bisa menggunakan shopepay walau saldonya kurang dan kekurangannya bisa dibayar melalui COD sekian dari saya terimakasih..............,positif
DessertZumb4_,Bagus banget aplikasi shopee nya,positif
Kirana_Silkia22,Harga produk bagus Produk original,positif
ulfiiiie,Bagus shopee membantuku dalam berjualan online,positif
Ludiaaaa,Puas belanja di shopee,positif
syasyanna,"pengiriman ok ,kurirnya ok ok .",positif
callmealh,Gratis ongkirnya suka hilang hilang cuma itu yang kurang aku suka jadi kasih bintang 4 saja dulu,positif
OliviaAngellica,"Saya suku belanja di aplikasi ini cuma kadang kecewanya pesanan sama barang datang tidak sesuai itu aja terus tidak ada konfirmasi apa2 , sukanya pengiriman cepet",positif
kedipa,"Shopee sangat membantu, belanja gak harus ribet... Dan kualitas produk nya bagus sesuai pict nya",positif
annisazizahh,"Bagus sih cuman ada kendala nya yaitu saya sudah klaim voucher gratis ongkir tapi malah gabisa dipakai voucher nya :""(",positif
Dnihasna,Assalamu'alaikum warahmatullahi wa barokatuh saya Nayla?? kenapa saya kasih bintang 4 karena harusnya shopee ini ada foto dari pembelinya agar lebih de l dan lengkap ??????????,positif
naturinalarisati,"Saya senang pakai shopee, selama order gak pernah barang diterima cacat. tapi kenapa akun saya di nonaktifkan untuk COD. Padahal gak pernah menggagalkan orderan secara sepihak. Dari pelapaknya yang barang kosong",positif
putrinur44,"Sejak ada shopee aku kalau belanja jadi lebih mudah,walaupun kasang ongkos kirimnya lebih mahal daripada harga barang yang dibeli",positif
City_girl,"Aplikasi online shop ini bagus sih..... Bisa gratis ongkir sampe Rp0 tapi sayangnya gk semua produk bisa sampe segitu ongkirnya. dan jasa pengiriman shopee express standard juga nggak bisa cod lagi.... sayang banget, jadi kalau mau cod yah harus pakai j&t yang ongkirnya mahal banget. produk yang di ke...Ulasan Lengkap",positif
Tyara_17,Sejauh ini hasil dari barang yang dibeli bagus dan pelayanannya cepat,positif
armewoo29,Shopee sekarang gratis ongkir memerlukan shopeepay kalau tidak ada shopeepay ya harus nanggung ongkir sendiri Dulu shopee banyak banget gratis ongkir sekarang berubah mungkin karena zaman...,positif
purplefav,mudah dan cepat pelayanannya terimakasih shopee,positif
reginasaskia,Tingkatkan lagi aplikasinya sejauh ini sudah bagus,positif
zhafiranisha,Mantap shopee terbaik,positif
nellyngl,"Lumayan bisa buat cari pengahasilan di sini,tapi malas ny tiap bulan diperbaruin Terus",positif
unlovingway,sangat membantu,positif
jeundukieee,Bagus pelayanannya memuaskan,positif
mramellia,Shopee keren membantu saya dalam membeli kebutuhan secara cepat,positif
mynamesfrida,"Suka belanja dishopee, terpercaya dan terbaik deh pokoknya",positif
fadillahdwis_,"hai Shopee aku suka banget sama kamu,tapi sejak adanya jasa kirim otomatis pembeli saya jadi nggak bisa bikin pesanan dengan akhirnya nggak bisa check out deh..gimana coba?",positif
tipa95,Sekian lama belanja di shopee tidak pernah kecewa,positif
_Ameliaefendi97,Shopee mantap pertahankan,positif
agitadnprmt,Bagus terimakasih shopee,positif
Soniaaa13,"Selama belanja di shoppe alhamdulillah barang yang datang sesuai. Pertahankan terus tingkat pelayanannya, semoga gak nyecewain.",positif
elizabeth2796,"sangat membantu semogaa pihak shopee ny bisa lebih teliti dalam produk yang dijual biar g ad yang palsu² gitu, jadi g ngerugiin nama shope hhe",positif
normafauzia,kualitas produk baik pngiriman barang aja lama sama ongkir mahal,positif
pitiiazzh,"Dari dulu sudah pakai shoppe, emang mantep apalagi pas ada fitur paylater, tapi kok sekarang udh kagak ada yah?? Tolong dong pihak shoppe adain lagi fitur paylater karena itu sangat ngebantu sekali buat kami yang mau memulai usaha. Semoga bisa lebih baik lagi kedepannya ????",positif
geviay,"Bagus banget aplikasi yang membantu saya  jualan tapi belum ngerti ini cara daftar rekening kenapa ga masuk2 nya sms pemberitahuan kode nya tolong bantuan nya,",positif
Ashillataniaa,Walaus sudah bagus tapi masih banyak penjual yang melakukan kecurangan jadi bintang 4 aja,positif
theonlyber,Bravo Shopee..harus lebih profesional memilih Prodaks yang MURTAGUS ( Murah Tapi Bagus)...,positif
PUJI2704,Semoga tetap amanah,positif
Dina_Septi,Puas belanja di shopee,positif
LarosiNG,"produknya komplit dan banyak bonusnya,,,,",positif
Wulan_ayvv,"Bagus sangat membantu ,, tapi kenapa adik aku ngga ada minimal belanja untuk gratis ongkir, aku ada ???? tapi suka kok app ini .",positif
Dhea_evanda,Aplikasi ini bagus banget Pokok nya ok lh Nggak bisa lagi gwe mau ketik apa lagi Karena aplikasi yang basgus,positif
tsaniarays,"Membantu sekali untuk kebutuhan barang, cuma banyak toko yang slow respon dan bahkan sering tidak dibalas",positif
vefadina,Respown penjual cepat,positif
dindaaditi,Bagus sekali shopee pelayanannya,positif
Anggie_Debiya,Responnya cepat.belanja di shopee aman dan mudah,positif
resitavendaaa,Selama ini memuaskan karena selalu ngga kecewa,positif
jeanyth,Aplikasi nya bagus cuma saya sedikit kecewa karena saya sudah 6 kali mengajukan pinjaman di shopee leater tapi belum pernah sukses padahal saya sudah lama menggunakan aplikasi shopee belanja pun sering dan saya juga kecewa saya tidak bisa menghapus akun shopee saya,positif
nailedteen,Belanja ga perlu ribet keluar rumah,positif
yayaskim,Pengiriman cepat barang sesuai pesanan terimakasih shopee,positif
nisasyahida18,Banyak membantu,positif
Atika_Cahya,"Cukup bagus,, pertahankan",positif
ayu_ratnasari,"banyakin gratis ongkir ya, cod nya juga jangan kasi minim"" belanja hehe",positif
Natha_Hood,Saya cukup puas,positif
safaranuansa,"Layanan bagus, jangan sampai ada seller yang tipu2 ya.....",positif
spasha,cukup responsif dengan komplain pembeli,positif
Heraldnee,Memudahkan berbelanja,positif
ahnssra,sangat puaass belanja di shopee,positif
eruteha,Ada kenaikan bintang dari ulasan saya yang dahulu. Saya kasih bintang 4.,positif
lregyina,Bagus dan selalu dipertahankan,positif
rinsapriana,"Belanja online terpercaya, semoga makin banyak voucher gratis ongkirnya",positif
ichaauliasanit,"Shopee sekarang lbh sering suruh update terus.sekarang belanja di shopee kadang suka lemot kalau akut mo ngelacak lokasi barang sudah sampe mana,kadang masih di kemas padahal barang sudah di kirim sama penjual.lemot banget sekarang shopee,lama banget tampilin gambar2nya jadi mls duluan kalau mo bli.sekarang shopee gratis ongkirnya lbh banyak...Ulasan Lengkap",positif
vanniasafhira,Suka belanja di Shopee,positif
desti222,Layanannya ceppat dan memuaskan,positif
witawp,Belanja online ku hanya di shopee aja ??,positif
Gakky,Bagus sih bosku lebih nyaman... Cuma kurangnya satu ongkirnya kemahalan bosku di bandingin toko sebelah...ya wlwpun bnyk promonya tapi Tidak semua pengguna dapat!!,positif
herpiana_,Gratis ongkirnya tambah lagi yang bukan shope pay biar smangat belanja nya,positif
jsnjsnjsnjsn,Transaksi nyaman & aman,positif
hesahara,Aplikasi keren yang bisa menghasilkan uang dan juga memudahkan dalam berbelanja ????????,positif
Tiovanip,"Bagus aplikasi nya. Tapi banyak racun, bikin dompet nangis :(",positif
maulindasabrina,"Bagus, tapi apabila pembeli komplain barang, selalu yang dibela penjual.",positif
angela_firdaus,Barang sesuai pesanan pokoknya ????,positif
yuliaherlianty_,"Mantap, banyak free ongkirnya...",positif
delicaice,Banyakin voucher gratis ongkirnya dong,positif
safanaph,Kalo shopee. belanja sepatu ada ukuranya gax..soalnya saya blum prnh pke shope. Biasa nya saya pke lazada..mudah2an ja gampng belanja nya..biar jadi lnggann d shope,positif
nurinasuciani,Semoga membantu bagi orang lain,positif
rororindu,Memang oke... Yang penting belanja sesuai prosedur shopee biar amanah..,positif
Ayutryle,Berbelanja mudahh,positif
Lailya,"Banyak promo no kaleng2, gak seperti sebelah",positif
Meinmein,Bagus dan memuaskan,positif
Putriis2,Mantap,positif
salsabilaiswoyo,Kualitas barang sesuai..,positif
diraldara,Pengiriman dapat dipercaya Semoga kedepanya lebih maju lagi Dan banyak gratis ongkir:v,positif
Lisnarahma,Selama ini suka masih yang terbaik ????,positif
Christyarenda,Selama ini setelah berbelanja menggunakan shopee belum ada kendala apapun.,positif
muthmainnahyusuf,sudah bisa log in makasih shopee...ga jadi beli hp baru karena pakai hp lama masih bisa...tidak merepotkan...semoga lebih baik lagi ya,positif
wintersnow,Sejauh ini transaksinya ok. Hanya perlu perbaikan pada aplikasi karena membutuhkan kuota yang besar. Sehingga di daerah yang sinyalnya kurang bagus agak berat dan lambat sekali....,positif
Diananov,Lumayan puas menjadi seller d shopee,positif
zifamaritza,Pokoknya keren ini aplikasi,positif
rchma,Sangat memuaskan??????????,positif
deistiadzhani,Belanja di shopee bagus sesuai pesanan,positif
jusstttfikaaa,"Bagus, memudahkan berbelanja di era online spt skg.",positif
adiestyc,Alhamdulillah selalu langganan sama shopee,positif
amalialis,Sering banget belanja disini.. ga mengecewakan.. apapun yang aku butuh ada di shopee.. memang ada beberapa toko yang ga jujur atau menjual barang yang tidak sesuai denga foto yang dipajang.. tapi sejauh ini sih puas2 aja kok pakai aplikasi ini..,positif
nishadwii,Sukses terus ya buat aplikasi ini,positif
skolastikaefilly,Terbaik aku suka....!!!,positif
ikvjou,Pembelian lebiih aman dan terpercaya,positif
lutfys,Bagus banget aplikasi nya,positif
indirahw,"sudah bagus kak, kalo bisa tambahin fitur topup gopay pliss mau bangett??????",positif
annisamuvira,"Aplikasi terbaik ,,, kalau ongkir nya free tambah sippp",positif
meirifka,Situs belanja online The Best,positif
Kurai,Suka bangett,positif
pinkeunicat,Aplikasi ini sangat bagus,positif
Echi30,Pengiriman tidak pernah meleset dan cepat pastinya.,positif
varravariansyah,selalu belanja di shopee karena banyak gratis ongkirnya,positif
fantasticmilk,Toplah shoppee....,positif
Vaacastle,Saya kasih bintang lima (5) buat aplikasi shopee nya . Sangat rekomendasi banget deh tidak mengecewakan pelanggannya.???? Terimakasih Shopee.???? Tambahin lagi bonus nya buat saya ya kak.???? Tapi saya belanja di Shopee belum pernah dapat hadiah HP Canggih sih kak.,positif
Syuraseoo,Aplikasi ini memang bagus dan menarik,positif
Nonikulftn,Baru pertama kali download langsung dapat barang gratisan,positif
ovina18,Puas banget belanja di shopee,positif
elvafebrianaf,"Sagat berguna bagi pelanja online,pengiriman cepat",positif
decritiasiregar,Belanja dishopee mudah cepat sesuai pesanan seneng deh...dah langganan ????????,positif
el_shinta09,BAGUS BANGET INI aplikasi SYOPI AKU SUKA BANGET,positif
karinaiueo,"Belanja gampang, pilihan banyak, harga nyaman d kantong...",positif
elvaannisa,"Assalamualaikum,ak suuukkkkaaa baattt aplikasi ini",positif
margaretdny,"pakai Shopee pasti untung,aplikasi dr Sabang sampai merauke,yang lain...cukup.",positif
triniejeannice,Ak suka dengan aplikasi ini bisa belanja2 makasih ya shopee,positif
naura21,Toko online shop sangat memuaskan customer nya secara pelayanan dan produk,positif
Jeni_yo,Cinta banget sm shopee,positif
Indahratnahappy,"Kalau bisa ongkir nya jangan mahal,,ok Kaka...semoga ada big shale barang ORI ya ka jangan kw hehe ??",positif
Erarevina_S,baguss,positif
widdea,barang selalu sesuai pesanan,positif
FransiscaDwiListiani,Bagus banget.. Aku puas.. Pengemasan rapi banget.. Makasih ya seller,positif
ririnfrasasti,Harga terjangkau pngriman ok.kualitas djaga ok.,positif
Virgin_Il,Aman dan terpercayaaaa,positif
emylll,"Terimakasih atas adanya shopee mau belanja apa aja bisa semuanya ada dishopee. tapi kenapa ya voucher cod nya gak bisa di gunakan. Harus menggunakan shopeepay dulu voucher nya baru bisa digunakan, agak bete dehh.. tolong ditingkatkan lagi ya shopee. Terimakasih ????",positif
Jeskachs,"Sangat memuaskan , terimakasih, makin sukses shopee",positif
angelalilulo,Mantep dah pkoknya,positif
kaleirevan,Terima kasi shopeee atas pelayanya...,positif
talita26,"suka hyung aplikasi nya!! jadi mudah belanja tanpa harus keluar rumah, banyak diskon sama voucher gratis ongkir nya jga, terus harga nya kbnykan lebih murah?? besttt lahhh pokok nya aplikasi racunn yang warrrbiasaaa sukaa????",positif
luniraazi,"Memudah kan  untuk mencari dan membeli barang, ter utama barang yang sudah langka daerah saya.",positif
nvyvnth,Saya puas sekali dengan sopee berbelanja dengan murah tampa kemana2,positif
honeyvha,Saya sangat suka...,positif
LidyaS,saya suka,positif
nashanasy_,Murah cepat tepat,positif
Mhrnis,"Belanja jadi mudah, harga jg murah",positif
sakinarossaa,Pelayanan bagus tapi kadang dr pihak penjual kurang cepat merespon,positif
Yonakristin_04,"Shope terpercaya, banyak promo murahh gratis ongkir.. Is the best",positif
sylviand,Saya sangat senang belaja di shopee,positif
milakus,Barang di shopee bangus2 real pic pelayanan sangat ramah shopee is the best,positif
Revishafria,Puas belanja di shopee,positif
ammaraara,Aplikasi favorit belnja onlen,positif
mutiyaa,selalu belanja di shopee...,positif
mita340,Alhamdulillah belanja di shopee mantap,positif
hylmah,Shopee de besss dahh,positif
syifaahfzh,Sangat puas belanja d shopee selernya rama dapat chasbek gratis ongkir Terimakasih shopee????,positif
Dyaah04,"Terimakasih shopee Semua di shopee bagaikan secepat kilat dan barang terjangkau bagi kami selaku penghobi barang perkakas kerja.karena kami bagian dari pekerja,senang berkreasi dalam dunia pekerjaan di tunjang alat2 kerja.i love shopee?????????????????????",positif
babyxoxox,bagus banagttt tiada kata lain lagi,positif
Aurelirs,Tambah lagi gratis ongkir nya,positif
